КодОЗ,Кол-во коек,Врачи,Средний медперсонал
6351,,,
6352,,,
6353,,,
6354,,,
6356,,,
6357,,,
6358,,,
6359,15,1,8
6360,,,
6361,,,
6362,,,
6363,,,
6364,,,
6365,,,
6366,,,
6367,,,
6368,,,
6369,,,
6370,,,
6371,,,
6372,,,
6373,,,
6374,,,
6375,,,
6376,,,
6377,,,
6378,,,
6379,,,
6380,,,
6381,,,
6396,,,
6397,,,
6398,,,
6399,,,
6400,,,
6401,,,
6402,,,
6425,,,
6426,,,
6427,,,
6428,,,
6429,,,
6430,,,
6432,,,
6433,,,
6435,,,
6437,,,
6438,,,
6439,,,
6442,,,
6443,,,
6445,,,
6446,,,
6447,,,
6449,,,
6450,,,
6452,,,
6454,,,
6455,,,
6456,,,
6457,,,
6458,,,
6459,,,
6460,,,
6461,,,
6462,,,
6528,,,
6529,,,
6530,,,
6531,,,
6532,,,
6533,,,
6552,,,
6569,,,
6570,,,
6571,,,
6572,,,
6573,,,
6587,,,
6588,,,
6621,,,
6622,,,
6661,,,
6663,,,
6664,,,
6665,,,
6667,,,
6670,110,34,75
6671,,,
6675,,,
6678,,,
6698,,,
6699,,,
6701,,,
6702,,,
6703,,,
6706,,,
6713,,,
6716,,,
6718,,,
6722,,,
6725,,,
6728,,,
6729,,,
6730,,,
6731,,,
6732,,,
6733,,,
6734,,,
6737,,,
6739,,,
6740,,,
6741,,,
6743,,,
6745,,,
6746,,,
6747,,,
6748,,,
6749,,,
6758,,,
6777,,,
6778,,,
6779,,,
6781,,,
6782,,,
6783,,,
6784,,,
6785,,,
6786,,,
6790,0,43,30
6791,,,
6792,,,
6793,,,
6794,,,
6795,,,
6796,,,
6797,,,
6798,,,
6800,0,48,46
6820,0,36,41
6822,0,51,55
6823,0,38,39
6824,0,83,123
6837,,,
7000,,,
7001,,,
7002,,,
7003,,,
7004,,,
7005,,,
7006,,,
7007,,,
7008,,,
7009,,,
7010,,,
7011,,,
7012,,,
7013,,,
7014,,,
7015,,,
7016,,,
7017,,,
7018,,,
7019,,,
7020,,,
7021,,,
7022,,,
7023,,,
7024,,,
7025,,,
7026,,,
7027,,,
7028,,,
7029,,,
7030,,,
7031,,,
7032,,,
7033,,,
7034,,,
7035,,,
7036,,,
7037,,,
7038,,,
7039,,,
7040,,,
7041,,,
7042,,,
7043,,,
7044,,,
7045,,,
7046,,,
7047,,,
7048,,,
7049,,,
7050,,,
7051,13,3,-
7052,,,
7055,,,
7056,,,
7057,60,18,56
7058,,,
7060,,,
7061,45,10,44
7065,,,
7066,,,
7067,,,
7100,284,111,249
7103,40,10,29
7104,83,38,93
7112,,,
7182,,,
7183,35,8,22
7189,,,
7191,,,
7192,,,
7193,,,
7194,,,
7195,,,
7196,,,
7197,,,
7198,,,
7199,,,
7200,,,
7203,,,
7204,,,
7205,,,
7206,,,
7207,,,
7208,,,
7209,,,
7210,,,
7211,,,
7213,,,
7214,,,
7215,,,
7216,,,
7217,,,
7218,,,
7219,,,
7220,,,
7222,,,
7223,,,
7224,,,
7225,,,
7245,,,
7248,,,
7249,,,
7250,,,
7259,,,
7260,,,
7261,,,
7263,,,
7264,83,15,55
7265,,,
8000,0,143,197
8001,,,
8002,70,14,31
8005,,,
8006,,,
8007,,,
8008,,,
8009,,,
8010,,,
8011,,,
8012,,,
8013,,,
8014,,,
8015,,,
8016,,,
8017,,,
8018,,,
8021,,,
8023,,,
8024,,,
8025,,,
8026,,,
8027,,,
8029,,,
8030,,,
8031,,,
8032,,,
8033,,,
8034,,,
8035,,,
8036,,,
8037,,,
8038,,,
8039,,,
8040,,,
8041,,,
8042,,,
8043,,,
8044,,,
8045,,,
8046,,,
8047,,,
8048,,,
8049,,,
8050,,,
8051,,,
8052,,,
8053,,,
8054,,,
8056,,,
8057,,,
8058,,,
8059,,,
8060,,,
8061,,,
8062,,,
8063,,,
8064,,,
8065,,,
8066,,,
8067,,,
8068,,,
8069,,,
